,grayscale,type
0,"[[9.84409071e-05 0.00000000e+00 0.00000000e+00 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]]",Type_1
1,"[[7.76399950e-03 9.23507309e-03 1.05426941e-02 ... 0.00000000e+00
  8.17263105e-05 1.63452621e-04]]",Type_1
2,[[0.01719908 0.0172787  0.01711945 ... 0.01090867 0.01027167 0.00955504]],Type_1
3,[[0.01389108 0.01308077 0.01192318 ... 0.00358853 0.00335701 0.00486188]],Type_1
4,[[0.00209205 0.00418409 0.00587382 ... 0.00362085 0.00128741 0.00032185]],Type_1
5,[[0.00012451 0.         0.00024902 ... 0.00012451 0.00012451 0.00012451]],Type_1
6,[[0.00010157 0.         0.         ... 0.00304714 0.00172671 0.001422  ]],Type_1
7,[[0.00022753 0.00022753 0.00034129 ... 0.         0.00022753 0.00022753]],Type_1
8,"[[1.86265056e-04 1.86265056e-04 1.86265056e-04 ... 9.31325279e-05
  1.86265056e-04 9.31325279e-05]]",Type_1
9,[[0.00158118 0.00263529 0.00316235 ... 0.00067765 0.00052706 0.        ]],Type_1
10,"[[9.23058154e-05 1.84611631e-04 9.23058154e-05 ... 1.84611631e-04
  9.23058154e-05 9.23058154e-05]]",Type_1
11,[[0.00646655 0.00670028 0.00708984 ... 0.00319432 0.00358387 0.0038176 ]],Type_1
12,"[[0.00000000e+00 9.30680903e-05 0.00000000e+00 ... 0.00000000e+00
  0.00000000e+00 9.30680903e-05]]",Type_1
13,"[[2.15589624e-04 4.31179248e-04 5.03042455e-04 ... 7.18632079e-05
  1.43726416e-04 7.18632079e-05]]",Type_1
14,[[0.00828986 0.00828986 0.00974058 ... 0.0133674  0.01150218 0.00839348]],Type_1
15,"[[0.00000000e+00 8.40619785e-05 0.00000000e+00 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]]",Type_1
16,[[0.00852975 0.00824542 0.00938272 ... 0.02288815 0.01919193 0.02061355]],Type_1
17,[[0.00089472 0.00125261 0.00134208 ... 0.00563672 0.00509989 0.00438412]],Type_1
18,[[0.01794671 0.01752444 0.01699659 ... 0.01034575 0.01066246 0.01066246]],Type_1
19,[[0.00020926 0.00010463 0.00031389 ... 0.00010463 0.00010463 0.00010463]],Type_1
20,[[0.00712195 0.00730694 0.00758442 ... 0.00675198 0.00739943 0.00795439]],Type_1
21,[[0.00157061 0.00107979 0.00147244 ... 0.00559529 0.00422101 0.00373019]],Type_1
